Date,Open,High,Low,Close
11/22/2024,"56,395","58,031","56,348","57,61"
11/21/2024,"56,318","57,986","56,318","56,848"
11/20/2024,"55,553","57,032","55,172","56,534"
11/19/2024,"55,5","58,422","55,196","55,9"
11/18/2024,"56,168","56,364","55,456","55,714"
11/15/2024,"55,443","56,439","55,133","56,431"
11/14/2024,"54,793","54,915","54,127","54,818"
11/13/2024,"55,407","55,408","54,37","54,58"
11/12/2024,"54,628","55,168","54,13","55,114"
11/11/2024,"54,272","54,347","53,59","53,726"
11/8/2024,"54,787","55,496","54,496","54,824"
11/7/2024,"56,138","56,329","54,792","54,816"
11/6/2024,"55,827","56,993","54,892","56,733"
11/5/2024,"58,675","59,012","57,798","57,8"
11/4/2024,"58,166","58,892","58,074","58,872"
11/1/2024,"58,754","58,81","57,784","58,294"
10/31/2024,"58,441","59,149","57,857","58,585"
10/30/2024,"57,104","57,785","56,99","57,415"
10/29/2024,"56,157","57,044","55,933","56,804"
10/28/2024,"56,271","56,675","55,836","56,449"
10/25/2024,"57,306","57,669","56,461","56,993"
10/24/2024,"57,79","57,793","56,752","57,478"
10/23/2024,"57,146","58,163","57,124","57,808"
10/22/2024,"56,515","58,261","56,515","57,263"
10/21/2024,"55,47","56,748","55,301","56,391"
10/18/2024,"55,795","56,03","55,179","55,195"
10/17/2024,"56,177","56,179","55,154","55,518"
10/16/2024,"56,696","56,784","56,026","56,349"
10/15/2024,"55,594","56,409","55,437","56,322"
10/14/2024,"56,658","56,797","55,866","55,87"
10/11/2024,"57,068","57,59","56,59","56,7"
10/10/2024,"57,628","57,757","56,897","56,962"
10/9/2024,"58,383","58,763","57,398","57,506"
10/8/2024,"59,364","59,364","58,282","58,349"
10/7/2024,"58,278","58,648","57,825","58,239"
10/4/2024,"60,034","60,075","58,315","58,346"
10/3/2024,"59,857","60,248","58,906","59,954"
10/2/2024,"60,099","60,435","59,329","59,509"
10/1/2024,"58,619","60,481","57,77","59,966"
9/30/2024,"57,899","59,163","57,702","58,823"
9/27/2024,"57,483","57,672","57,04","57,537"
9/26/2024,"58,076","58,314","57,285","57,285"
9/25/2024,"59,313","59,437","58,31","58,989"
9/24/2024,"58,483","59,404","57,672","58,799"
9/23/2024,"57,932","60,086","57,932","58,711"
9/20/2024,"57,599","58,406","56,606","58,227"
9/19/2024,"51,957","52,341","50,868","50,957"
9/18/2024,"52,747","53,455","52,553","53,242"
9/17/2024,"53,005","53,143","52,318","52,72"
9/16/2024,"53,763","53,86","53,115","53,536"
9/13/2024,"54,925","54,995","53,456","53,482"
9/12/2024,"56,133","56,646","55,154","55,568"
9/11/2024,"56,867","58,971","56,384","58,17"
9/10/2024,"55,379","57,122","54,949","57,122"
9/9/2024,"56,35","56,378","55,274","55,327"
9/6/2024,"55,343","56,409","53,479","56,277"
9/5/2024,"54,743","55,402","54,361","55,324"
9/4/2024,"56,222","56,557","54,149","54,433"
9/3/2024,"52,613","54,606","52,537","54,389"
9/2/2024,"52,432","52,974","52,345","52,549"
8/30/2024,"52,042","52,653","51,753","52,553"
8/29/2024,"52,416","52,457","51,596","51,893"
8/28/2024,"51,499","52,238","51,195","52,119"
8/27/2024,"52,012","52,459","51,565","51,818"
8/23/2024,"53,387","53,46","51,944","52,162"
8/22/2024,"53,474","53,686","52,909","53,445"
8/21/2024,"53,881","54,459","52,993","53,735"
8/20/2024,"52,855","54,183","52,567","53,841"
8/19/2024,"54,055","54,547","53,047","53,08"
8/16/2024,"55,202","55,441","53,818","53,932"
8/15/2024,"58,517","58,975","55,389","55,697"
8/14/2024,"60,765","60,93","58,905","58,961"
8/13/2024,"61,52","62,314","61,477","61,477"
8/12/2024,"61,146","61,558","60,709","61,326"
8/9/2024,"61,437","62,24","59,919","61,907"
8/8/2024,"63,49","64,119","60,939","61,821"
8/7/2024,"64,303","64,5","60,861","62,055"
8/6/2024,"63,085","66,464","62,761","64,832"
8/5/2024,"68,607","69,368","64,816","65,302"
8/2/2024,"60,183","64,001","59,707","62,854"
8/1/2024,"54,687","59,113","54,669","58,775"
7/31/2024,"54,575","55,21","54,499","54,669"
7/30/2024,"54,961","55,756","54,425","55,66"
7/29/2024,"53,905","55,28","53,627","54,93"
7/26/2024,"55,024","55,304","54,019","54,232"
7/25/2024,"55,737","56,277","54,958","54,998"
7/24/2024,"53,959","54,772","53,868","54,447"
7/23/2024,"52,65","53,577","52,278","53,448"
7/22/2024,"54,179","54,258","52,632","52,918"
7/19/2024,"53,802","55,142","53,74","54,357"
7/18/2024,"53,07","54,011","52,345","53,807"
7/17/2024,"52,477","53,263","52,184","53,118"
7/16/2024,"51,728","52,524","51,677","51,994"
7/15/2024,"51,422","51,699","50,641","51,157"
7/12/2024,"52,138","52,223","51,002","51,06"
7/11/2024,"52,279","52,706","51,406","52,544"
7/10/2024,"53,645","53,652","52,224","52,588"
7/9/2024,"52,31","53,944","52,134","53,458"
7/8/2024,"55,055","55,397","51,994","52,125"
7/5/2024,"53,373","54,483","52,944","53,979"
7/4/2024,"54,264","54,264","53,013","53,59"
7/3/2024,"56,169","56,2","54,286","54,388"
7/2/2024,"58,52","59,523","56,997","57,307"
7/1/2024,"57,889","58,75","57,627","58,234"
6/28/2024,"61,891","63,217","60,889","60,939"
6/27/2024,"61,961","62,727","61,549","62,299"
6/26/2024,"60,796","62,915","60,668","61,878"
