Date,Open,High,Low,Close
11/22/2024,"18,2904","19,791","17,9689","17,9689"
11/21/2024,"19,9818","21,0219","18,9378","18,952"
11/20/2024,"18,6398","20,4062","18,3621","20,0581"
11/19/2024,"17,6746","21,4024","17,5784","19,2251"
11/18/2024,"17,8437","18,6169","17,6153","17,7888"
11/15/2024,"17,8596","17,8782","16,8704","17,2116"
11/14/2024,"17,117","17,6739","16,9468","17,1048"
11/13/2024,"17,8348","18,5502","17,5566","17,6841"
11/12/2024,"17,4442","18,0414","16,9043","17,9442"
11/11/2024,"16,6719","16,8878","16,3883","16,7866"
11/8/2024,"16,5568","17,1058","16,1146","16,7768"
11/7/2024,"17,7593","17,7593","16,5166","16,7385"
11/6/2024,"18,7817","19,1121","16,2456","18,4866"
11/5/2024,"21,057","21,057","19,6921","19,8482"
11/4/2024,"21,9803","22,0559","20,8167","20,9586"
11/1/2024,"21,3573","21,6222","20,6943","21,094"
10/31/2024,"20,9456","22,175","20,698","21,7302"
10/30/2024,"19,2848","20,3871","19,1381","19,9312"
10/29/2024,"18,6564","19,1255","18,5024","18,9946"
10/28/2024,"19,2243","19,4269","18,5404","18,6585"
10/25/2024,"19,1397","19,322","18,6238","18,9165"
10/24/2024,"18,6237","19,2092","18,3442","19,1718"
10/23/2024,"18,5237","19,0239","18,4479","18,9938"
10/22/2024,"18,4148","19,4856","18,1849","18,6169"
10/21/2024,"17,9031","18,8718","17,6488","18,8489"
10/18/2024,"17,9868","18,0708","17,0794","17,2509"
10/17/2024,"18,8826","18,8886","17,6929","18,2664"
10/16/2024,"19,1421","19,5695","18,8316","19,2128"
10/15/2024,"17,5384","18,9779","17,5057","18,5964"
10/14/2024,"18,8091","18,8922","17,6598","17,6747"
10/11/2024,"19,4187","19,6763","18,3177","18,4665"
10/10/2024,"19,6059","19,8484","19,1375","19,1897"
10/9/2024,"20,6837","20,7976","19,2762","19,3657"
10/8/2024,"21,8333","22,1562","20,2778","20,2825"
10/7/2024,"20,8372","21,1638","20,0859","20,2202"
10/4/2024,"21,4697","21,5042","19,6578","20,2537"
10/3/2024,"20,5402","21,5757","20,2986","21,2197"
10/2/2024,"20,7407","21,4498","19,7585","19,8893"
10/1/2024,"18,1534","21,5354","17,684","21,1034"
9/30/2024,"17,2183","18,162","17,205","18,0647"
9/27/2024,"16,1961","16,316","15,9521","15,9531"
9/26/2024,"15,7676","16,5898","15,6725","16,3795"
9/25/2024,"16,5009","16,5235","16,1035","16,2155"
9/24/2024,"16,0065","16,6625","15,7089","16,02"
9/23/2024,"17,1623","17,2146","16,1849","16,3693"
9/20/2024,"15,5361","16,969","15,4837","16,1859"
9/19/2024,"16,2193","16,2193","15,3791","15,4193"
9/18/2024,"16,7537","17,4744","16,607","17,0602"
9/17/2024,"16,8227","16,8926","16,3423","16,5794"
9/16/2024,"16,915","17,2672","16,3359","17,1151"
9/13/2024,"16,9191","17,0619","15,9922","16,0523"
9/12/2024,"17,8953","18,594","17,3631","17,533"
9/11/2024,"19,0783","20,383","18,2492","19,5984"
9/10/2024,"19,705","20,1073","18,909","19,5428"
9/9/2024,"22,3711","22,3711","19,7166","20,2294"
9/6/2024,"21,068","22,5954","17,9458","22,5849"
9/5/2024,"20,2387","20,8145","19,2104","20,0497"
9/4/2024,"19,4796","21,1072","19,0913","19,8665"
9/3/2024,"15,4947","17,6323","15,192","17,3374"
9/2/2024,"15,8991","16,4919","15,4055","15,4132"
8/30/2024,"15,3635","15,3635","14,9897","15,2695"
8/29/2024,"15,3037","15,3246","14,8905","15,2338"
8/28/2024,"15,2877","15,6303","14,9124","15,5896"
8/27/2024,"15,546","15,6436","15,3764","15,4568"
8/26/2024,"15,762","15,7681","15,1927","15,6627"
8/23/2024,"15,8856","15,953","15,304","15,307"
8/22/2024,"15,3926","16,0715","15,2615","16,0105"
8/21/2024,"15,6241","15,78","15,0236","15,4752"
8/20/2024,"14,8328","15,4662","14,5919","15,46"
8/19/2024,"15,3911","15,6071","14,7677","14,9168"
8/16/2024,"15,7815","15,8562","14,4969","14,5006"
8/15/2024,"16,0583","16,7764","15,0477","15,3092"
8/14/2024,"17,8036","17,9216","16,7514","16,7631"
8/13/2024,"19,0832","19,876","18,3001","18,3433"
8/12/2024,"19,1275","19,559","18,5291","19,2927"
8/9/2024,"21,2326","22,1076","19,9552","20,4295"
8/8/2024,"21,2719","24,0572","21,2341","21,6299"
8/7/2024,"25,2427","25,2467","20,488","20,7485"
8/6/2024,"30,4877","30,4878","24,4279","25,0676"
8/5/2024,"29,5077","40,869","29,5077","31,1676"
8/2/2024,"20,3839","24,8217","19,863","24,519"
8/1/2024,"16,0229","18,4641","16,0095","18,1194"
7/31/2024,"16,6648","16,6648","15,7434","15,7434"
7/30/2024,"16,539","16,7536","16,1234","16,5329"
7/29/2024,"16,2092","17,0827","16,2092","16,8293"
7/26/2024,"16,7437","16,8197","16,0209","16,1458"
7/25/2024,"17,3872","18,3646","16,9016","16,93"
7/24/2024,"15,3478","16,1558","15,3478","16,0622"
7/23/2024,"15,2979","15,4662","14,8035","14,8035"
7/22/2024,"16,3294","16,3695","15,5511","15,6897"
7/19/2024,"16,3216","16,8796","15,8779","16,5217"
7/18/2024,"14,6637","15,8398","14,2575","15,7337"
7/17/2024,"14,0287","15,1832","13,7196","14,5472"
7/16/2024,"14,2981","14,4305","13,7815","13,865"
7/15/2024,"13,6966","13,8161","13,0808","13,5933"
7/12/2024,"13,3751","13,4266","12,834","13,0602"
7/11/2024,"13,9547","14,0602","13,3499","13,4169"
7/10/2024,"14,3167","14,4128","13,8332","13,8688"
7/9/2024,"13,6878","14,6923","13,23","14,5967"
7/8/2024,"14,1394","14,1394","13,1213","13,2924"
7/5/2024,"14,3728","15,2126","14,125","14,4265"
7/4/2024,"14,6399","14,7432","14,4399","14,6177"
7/3/2024,"15,5784","15,5784","14,676","14,8321"
7/2/2024,"16,5806","17,235","15,7494","15,8831"
7/1/2024,"18,1226","18,1261","15,6307","15,8952"
6/28/2024,"18,8321","18,9694","17,9874","18,2969"
6/27/2024,"18,7377","19,5033","18,6646","19,0602"
6/26/2024,"17,5064","19,2825","17,4509","18,98"
6/25/2024,"17,7875","18,1026","17,6595","18,0399"
6/24/2024,"17,6383","17,73","17,2229","17,3846"
6/21/2024,"17,9691","19,0802","17,5461","17,6045"
6/20/2024,"18,1919","18,1976","17,4039","17,7544"
6/19/2024,"18,4091","18,7042","17,7446","18,5209"
6/18/2024,"19,2429","19,5588","18,261","18,604"
6/17/2024,"19,4875","21,2504","18,971","19,9107"
6/14/2024,"17,3636","22,1769","17,3636","19,8691"
6/13/2024,"14,3802","17,0062","14,2597","16,751"
6/12/2024,"15,6117","15,8195","14,5139","14,7719"
6/11/2024,"14,307","16,6517","14,1652","15,7607"
6/10/2024,"14,8838","15,6082","14,4822","14,5074"
6/7/2024,"13,2179","13,956","13,1403","13,2861"
6/6/2024,"13,6197","13,7796","13,3234","13,3388"
6/5/2024,"14,2529","14,348","13,9035","13,9334"
6/4/2024,"14,4338","15,2862","14,3362","14,7419"
6/3/2024,"13,6616","14,1389","13,4004","14,0593"
5/31/2024,"14,1324","14,3105","13,6405","14,1384"
5/30/2024,"14,6038","14,6481","13,8673","13,9805"
5/29/2024,"13,7532","14,7071","13,7068","14,0762"
5/28/2024,"12,8767","13,5583","12,7532","13,3141"
5/27/2024,"12,965","12,9911","12,7094","12,8844"
